,SEMANA,NOMBRESERVICIO,CLUSTER,COUNT,percent
0,35,Aclaraciones por fraudes y controversias para TDD,Administracion,33,1.9452700052451552e-06
1,36,Aclaraciones por fraudes y controversias para TDD,Administracion,38,2.2400078848277544e-06
2,37,Aclaraciones por fraudes y controversias para TDD,Administracion,76,4.480015769655509e-06
3,38,Aclaraciones por fraudes y controversias para TDD,Administracion,9,5.305281832486787e-07
4,35,Activacion TDD Generico,Administracion,744,4.385699648189077e-05
5,36,Activacion TDD Generico,Administracion,1193,7.03244580684082e-05
6,37,Activacion TDD Generico,Administracion,1053,6.207179744009541e-05
7,38,Activacion TDD Generico,Administracion,152,8.960031539311018e-06
8,35,Activacion TDD Nominativa,Administracion,99,5.835810015735466e-06
9,36,Activacion TDD Nominativa,Administracion,142,8.37055578014582e-06
10,37,Activacion TDD Nominativa,Administracion,111,6.543180926733704e-06
11,38,Activacion TDD Nominativa,Administracion,17,1.0021087905808376e-06
12,35,Activar Tarjeta,Administracion,621,3.660644464415883e-05
13,36,Activar Tarjeta,Administracion,947,5.58233543929443e-05
14,37,Activar Tarjeta,Administracion,694,4.090961768606478e-05
15,38,Activar Tarjeta,Administracion,117,6.896866382232823e-06
16,35,Activar Token Celular,Administracion,103,6.071600319401546e-06
17,35,Actualizar Reconocimiento Facial,Administracion,1,5.894757591651986e-08
18,36,Actualizar Reconocimiento Facial,Administracion,20,1.1789515183303972e-06
19,37,Actualizar Reconocimiento Facial,Administracion,18,1.0610563664973574e-06
20,38,Actualizar Reconocimiento Facial,Administracion,1,5.894757591651986e-08
21,35,Administrar Limites de Tarjeta Debito,Administracion,26348,0.0015531507302484653
22,36,Administrar Limites de Tarjeta Debito,Administracion,34176,0.0020145923545229825
23,37,Administrar Limites de Tarjeta Debito,Administracion,38811,0.002287814368896052
24,38,Administrar Limites de Tarjeta Debito,Administracion,6926,0.0004082709107978165
25,35,Administrar Límites de Tarjeta Crédito,Administracion,400,2.3579030366607943e-05
26,36,Administrar Límites de Tarjeta Crédito,Administracion,719,4.238330708397778e-05
27,37,Administrar Límites de Tarjeta Crédito,Administracion,747,4.4033839209640334e-05
28,38,Administrar Límites de Tarjeta Crédito,Administracion,98,5.776862439818946e-06
29,35,Administrar limites Tarjeta Digital TDC,Administracion,233,1.3734785188549127e-05
30,36,Administrar limites Tarjeta Digital TDC,Administracion,413,2.43453488535227e-05
31,37,Administrar limites Tarjeta Digital TDC,Administracion,314,1.8509538837787234e-05
32,38,Administrar limites Tarjeta Digital TDC,Administracion,58,3.4189594031581517e-06
33,35,Administrar limites Tarjeta Digital TDD,Administracion,473,2.7882203408513894e-05
34,36,Administrar limites Tarjeta Digital TDD,Administracion,747,4.4033839209640334e-05
35,37,Administrar limites Tarjeta Digital TDD,Administracion,728,4.291383526722646e-05
36,38,Administrar limites Tarjeta Digital TDD,Administracion,106,6.248443047151105e-06
37,36,Alta de Cuentas de Terceros,Administracion,12,7.073709109982383e-07
