,EDAD,CLUSTER,SEXO,COUNT,SEMANA
435,18,Administracion,F,3697,35
436,18,Administracion,F,4310,36
437,18,Administracion,F,4391,37
438,18,Administracion,F,1164,38
439,18,Administracion,M,5870,35
440,18,Administracion,M,6710,36
441,18,Administracion,M,6954,37
442,18,Administracion,M,1836,38
443,18,Consulta,F,6326,35
444,18,Consulta,F,7377,36
445,18,Consulta,F,7607,37
446,18,Consulta,F,1904,38
447,18,Consulta,M,9500,35
448,18,Consulta,M,10991,36
449,18,Consulta,M,11480,37
450,18,Consulta,M,2723,38
451,18,Contacto,F,5,35
452,18,Contacto,F,17,36
453,18,Contacto,F,9,37
454,18,Contacto,F,2,38
455,18,Contacto,M,10,35
456,18,Contacto,M,24,36
457,18,Contacto,M,21,37
458,18,Contacto,M,3,38
459,18,Creacion de usuario,F,13,35
460,18,Creacion de usuario,F,27,36
461,18,Creacion de usuario,F,22,37
462,18,Creacion de usuario,F,7,38
463,18,Creacion de usuario,M,41,35
464,18,Creacion de usuario,M,69,36
465,18,Creacion de usuario,M,57,37
466,18,Creacion de usuario,M,8,38
467,18,Pagos,F,34,35
468,18,Pagos,F,58,36
469,18,Pagos,F,59,37
470,18,Pagos,F,5,38
471,18,Pagos,M,72,35
472,18,Pagos,M,98,36
473,18,Pagos,M,100,37
474,18,Pagos,M,21,38
475,18,Pasos,F,295,35
476,18,Pasos,F,358,36
477,18,Pasos,F,383,37
478,18,Pasos,F,70,38
479,18,Pasos,M,267,35
480,18,Pasos,M,350,36
481,18,Pasos,M,376,37
482,18,Pasos,M,55,38
483,18,Permisos,F,9,35
484,18,Permisos,F,16,36
485,18,Permisos,F,11,37
486,18,Permisos,F,1,38
487,18,Permisos,M,17,35
488,18,Permisos,M,34,36
489,18,Permisos,M,18,37
490,18,Permisos,M,3,38
491,18,Retiro,F,134,35
492,18,Retiro,F,173,36
493,18,Retiro,F,173,37
494,18,Retiro,F,27,38
495,18,Retiro,M,209,35
496,18,Retiro,M,270,36
497,18,Retiro,M,271,37
498,18,Retiro,M,49,38
499,18,Servicios,F,363,35
500,18,Servicios,F,496,36
501,18,Servicios,F,515,37
502,18,Servicios,F,120,38
503,18,Servicios,M,440,35
504,18,Servicios,M,629,36
505,18,Servicios,M,654,37
506,18,Servicios,M,121,38
507,18,Transferencias,F,1206,35
508,18,Transferencias,F,1482,36
509,18,Transferencias,F,1599,37
510,18,Transferencias,F,259,38
511,18,Transferencias,M,1620,35
512,18,Transferencias,M,1948,36
513,18,Transferencias,M,2166,37
514,18,Transferencias,M,280,38
515,19,Administracion,F,7404,35
516,19,Administracion,F,8356,36
517,19,Administracion,F,8792,37
518,19,Administracion,F,2557,38
519,19,Administracion,M,10674,35
520,19,Administracion,M,12122,36
521,19,Administracion,M,12751,37
522,19,Administracion,M,3425,38
523,19,Consulta,F,13069,35
524,19,Consulta,F,14683,36
525,19,Consulta,F,15459,37
526,19,Consulta,F,4158,38
527,19,Consulta,M,17706,35
528,19,Consulta,M,20391,36
529,19,Consulta,M,21380,37
530,19,Consulta,M,5282,38
531,19,Contacto,F,14,35
532,19,Contacto,F,25,36
533,19,Contacto,F,34,37
534,19,Contacto,F,8,38
535,19,Contacto,M,22,35
536,19,Contacto,M,39,36
537,19,Contacto,M,31,37
538,19,Contacto,M,9,38
539,19,Creacion de usuario,F,46,35
540,19,Creacion de usuario,F,54,36
541,19,Creacion de usuario,F,55,37
542,19,Creacion de usuario,F,9,38
543,19,Creacion de usuario,M,60,35
544,19,Creacion de usuario,M,106,36
545,19,Creacion de usuario,M,103,37
546,19,Creacion de usuario,M,13,38
547,19,Inversiones,M,1,36
548,19,Pagos,F,86,35
549,19,Pagos,F,132,36
550,19,Pagos,F,141,37
551,19,Pagos,F,15,38
552,19,Pagos,M,141,35
553,19,Pagos,M,191,36
554,19,Pagos,M,212,37
555,19,Pagos,M,28,38
556,19,Pasos,F,675,35
557,19,Pasos,F,727,36
558,19,Pasos,F,799,37
559,19,Pasos,F,164,38
560,19,Pasos,M,621,35
561,19,Pasos,M,761,36
562,19,Pasos,M,773,37
563,19,Pasos,M,129,38
564,19,Permisos,F,15,35
565,19,Permisos,F,31,36
566,19,Permisos,F,36,37
567,19,Permisos,F,4,38
568,19,Permisos,M,29,35
569,19,Permisos,M,59,36
570,19,Permisos,M,59,37
571,19,Permisos,M,2,38
572,19,Retiro,F,309,35
573,19,Retiro,F,413,36
574,19,Retiro,F,433,37
575,19,Retiro,F,74,38
576,19,Retiro,M,441,35
577,19,Retiro,M,506,36
578,19,Retiro,M,555,37
579,19,Retiro,M,83,38
580,19,Servicios,F,743,35
581,19,Servicios,F,1047,36
582,19,Servicios,F,1106,37
583,19,Servicios,F,209,38
584,19,Servicios,M,802,35
585,19,Servicios,M,1116,36
586,19,Servicios,M,1180,37
587,19,Servicios,M,249,38
588,19,Transferencias,F,2627,35
589,19,Transferencias,F,3042,36
590,19,Transferencias,F,3287,37
591,19,Transferencias,F,571,38
592,19,Transferencias,M,3181,35
593,19,Transferencias,M,3854,36
594,19,Transferencias,M,4094,37
595,19,Transferencias,M,584,38
